# lat [m]   lon [m]   Z [m]
43.5556255172     93.9469138592     2487.14528674
43.5644339645     93.9444013817     2589.56726394
43.5732427014     93.9418877444     2636.31887793
43.5820514465     93.9393732586     2667.17788077
43.4833204676     93.9548936253     2267.84073309
43.492130477     93.9523839803     2219.50962992
43.5009405491     93.9498736743     2184.92573373
43.5097505492     93.9473631436     2215.13500682
43.5185604311     93.9448518042     2233.68981969
43.5273701741     93.9423397876     2256.71392555
43.5361795944     93.9398273731     2313.3487734
43.5449888197     93.9373142288     2365.78526351
43.5537975744     93.9348007039     2448.74651711
43.5626064775     93.9322860295     2486.37311378
43.5714146021     93.929771246     2578.1502467
43.5802228604     93.9272553883     2633.81519705
43.589030793     93.9247389273     2696.97035246
43.4991125004     93.9377717335     2241.20497118
43.5079221924     93.9352594008     2251.96285283
43.5167318465     93.9327461013     2239.66386209
43.525541367     93.9302323295     2252.11603216
43.5343505483     93.9277183306     2308.44047274
43.543159762     93.9252031991     2326.92897755
43.5519683948     93.9226880333     2402.03680483
43.560776563     93.9201724398     2496.96427053
43.569585008     93.9176554694     2536.33694883
43.5783930667     93.9151380213     2592.77612088
43.5872004146     93.9126203692     2684.83488799
43.5060925078     93.923157377     2359.49392251
43.5149017517     93.9206423837     2344.89726142
43.5237109197     93.9181268096     2343.13463565
43.5325202821     93.915609832     2290.82011622
43.5413289564     93.9130936827     2356.4032157
43.5501376509     93.9105763703     2387.72309429
43.5589463487     93.9080581014     2401.98514727
43.5677542129     93.9055401187     2484.56837792
43.5765618867     93.9030213316     2558.37816803
43.5853697917     93.900501281     2594.66997101
43.5130704261     93.9085398646     2455.03609398
43.5218793126     93.906022067     2413.92335273
43.5306883765     93.9035030873     2345.36264819
43.5394972899     93.9009839977     2320.65778777
43.5483057198     93.8984651676     2359.78309712
43.5571136979     93.8959461333     2429.65548974
43.5659213406     93.8934265378     2506.72754549
43.5747294649     93.890905155     2518.79358902
43.5835361363     93.888384848     2634.00300519
43.5288547928     93.8913988878     2494.4741637
43.537663607     93.8888770109     2405.75241836
43.5464722982     93.8863550594     2358.19252918
43.5552798811     93.8838347918     2445.77783423
43.5640881074     93.8813120928     2438.51256153
43.5728954926     93.8787899675     2500.62743776
43.5817023747     93.8762675521     2583.329495
43.5905083515     93.8737453123     2708.93143385
43.5358280318     93.8767733441     2608.31944942
43.5446361035     93.8742498697     2569.53892451
43.5534447092     93.8717244403     2471.70648593
43.5622529621     93.8691993597     2430.74156508
43.571060192     93.8666755098     2485.6333827
43.5798667021     93.8641518146     2580.46819407
43.5886734245     93.8616266104     2636.34455643
43.5604143972     93.8570923694     2648.12483869
43.5692227511     93.8545635104     2548.87212195
43.578030471     93.8520354248     2518.3162616
43.5868374802     93.8495078339     2541.17732477
43.5956429956     93.8469816993     2654.90300245
43.5849987696     93.8373921601     2553.17253947
43.5938047637     93.8348632769     2617.45521132
43.602609879     93.8323347377     2721.11736803
43.6007701378     93.820215437     2685.02019483
43.4898525121     94.028752703     2116.36825086
43.4986644038     94.0262537208     2142.13611498
43.5074760707     94.0237537625     2240.52760285
43.5162875604     94.0212533666     2275.11375601
43.5250987692     94.0187521832     2339.47071778
43.4845367886     94.0239509883     2068.9921865
43.4889427745     94.0227012905     2097.5610829
43.4933486968     94.0214514442     2119.63455761
43.4977545805     94.0202013451     2166.95416764
43.5021603919     94.0189511739     2183.53680175
43.5065661495     94.0177007903     2213.57447682
43.5109718746     94.0164502757     2228.45677543
43.5153774568     94.0151994813     2286.9528927
43.5197830934     94.0139486349     2296.41265049
43.5241887035     94.0126976123     2304.91487621
43.5285941412     94.0114463535     2345.43542377
43.4880327344     94.0166499919     2091.18285065
43.4968444328     94.0141492469     2169.77130027
43.5056558911     94.0116479306     2196.75454452
43.5144672096     94.0091459099     2222.34331755
43.5232782198     94.0066431331     2294.327524
43.482716621     94.0118492686     2100.78287482
43.4871224129     94.0105988295     2105.02586109
43.4915281863     94.0093482053     2112.63593953
43.495933935     94.0080973963     2125.05436261
43.5003396464     94.0068463472     2196.36933265
43.5047453207     94.0055952368     2161.89404266
43.5091509906     94.0043439143     2151.88462282
43.5135564996     94.00309237     2215.89569778
43.5179620712     94.0018406859     2220.32821315
43.5223674204     94.0005888162     2281.46680745
43.5267728945     93.9993367826     2288.73056981
43.4862117559     94.0045478814     2110.03449936
43.4950231269     94.0020456336     2109.56456323
43.5038344133     93.9995426598     2138.07291656
43.5126455014     93.9970389921     2192.245999
43.5214563784     93.9945346364     2244.35346847
43.4808951362     93.9997483958     2114.64948061
