# X [m]   Y [m]   Z [m]
1692.56584316     1320.04399674     2186.13290136
2671.84594071     1522.55446692     2263.07972906
3651.12603827     1725.0649371     2347.46518849
4630.40613582     1927.57540728     2425.81255063
5609.68623338     2130.08587746     2545.02071324
-4385.62521235     1084.26127321     2223.4981391
-3406.3451148     1286.77174339     2190.43307047
-2427.06501724     1489.28221357     2143.40314267
-1447.78491969     1691.79268375     2146.60392886
-468.504822133     1894.30315393     2159.09679068
510.775275422     2096.81362411     2172.62170292
1490.05537298     2299.32409429     2181.16157937
2469.33547053     2501.83456447     2214.68356143
3448.61556809     2704.34503466     2298.8272281
4427.89566564     2906.85550484     2414.90662932
5407.1757632     3109.36597502     2472.42653662
6386.45586075     3311.8764452     2582.23863098
7365.73595831     3514.38691538     2654.78851876
-3608.85558498     2266.05184094     2371.64018168
-2629.57548742     2468.56231112     2228.09418279
-1650.29538987     2671.0727813     2177.74508923
-671.015292314     2873.58325149     2154.69136165
308.264805241     3076.09372167     2179.2477968
1287.5449028     3278.60419185     2198.54531719
2266.82500035     3481.11466203     2225.45875729
3246.10509791     3683.62513221     2283.51479023
4225.38519546     3886.13560239     2364.21441653
5204.66529301     4088.64607257     2435.65521961
6183.94539057     4291.15654275     2482.70210952
7163.22548812     4493.66701293     2583.95875314
8142.50558568     4696.17748312     2629.38800931
9121.78568323     4898.6879533     2658.76765149
-1852.80586005     3650.35287886     2266.52862641
-873.525762495     3852.86334904     2218.28826026
105.75433506     4055.37381922     2183.63808961
1085.03443261     4257.8842894     2213.62408693
2064.31453017     4460.39475958     2231.79860936
3043.59462772     4662.90522976     2254.28541573
4022.87472528     4865.41569995     2310.22597234
5002.15482283     5067.92617013     2361.81117129
5981.43492039     5270.43664031     2443.76416328
6960.71501794     5472.94711049     2480.22547556
7939.9951155     5675.45758067     2570.68039595
8919.27521305     5877.96805085     2624.86611954
9898.55531061     6080.47852103     2686.38508548
-96.7561351215     5034.65391678     2239.22100526
882.523962433     5237.16438696     2249.75572
1861.80405999     5439.67485714     2237.07654082
2841.08415754     5642.18532732     2248.99151949
3820.3642551     5844.6957975     2304.62178453
4799.64435265     6047.20626768     2322.25908855
5778.92445021     6249.71673786     2396.35876025
6758.20454776     6452.22720804     2490.12110869
7737.48464532     6654.73767822     2528.17162961
8716.76474287     6857.24814841     2583.13168245
9696.04484043     7059.75861859     2673.55441755
680.013492252     6216.44448451     2356.43411496
1659.29358981     6418.95495469     2341.45737931
2638.57368736     6621.46542487     2339.15767413
3617.85378492     6823.97589506     2286.14902738
4597.13388247     7026.48636524     2350.88107716
5576.41398003     7228.99683542     2381.19288024
6555.69407758     7431.5073056     2394.28983887
7534.97417514     7634.01777578     2475.55106887
8514.25427269     7836.52824596     2547.88187394
9493.53437025     8039.03871614     2582.53765228
1456.78311963     7398.23505225     2450.58718276
2436.06321718     7600.74552243     2408.93745077
3415.34331474     7803.25599261     2339.68271425
4394.62341229     8005.76646279     2314.12683971
5373.90350985     8208.27693297     2352.24419231
6353.1836074     8410.78740315     2420.95167377
7332.46370496     8613.29787333     2496.70184914
8311.74380251     8815.80834352     2507.28892319
9291.02390006     9018.3188137     2620.86258293
3212.83284455     8782.53609017     2487.62900224
4192.11294211     8985.04656035     2398.05629139
5171.39303966     9187.55703053     2349.4884582
6150.67313722     9390.06750071     2435.90900217
7129.95323477     9592.57797089     2427.32182882
8109.23333233     9795.08844107     2487.95793147
9088.51342988     9997.59891125     2569.02428583
10067.7935274     10200.1093814     2692.83367089
3989.60247193     9964.3266579     2599.30184158
4968.88256948     10166.8371281     2559.51351899
5948.16266704     10369.3475983     2460.51616142
6927.44276459     10571.8580684     2418.22938801
7906.72286215     10774.3685386     2471.64253747
8886.0029597     10976.8790088     2564.84179906
9865.28305726     11179.389479     2618.92555254
6724.93229441     11551.138166     2634.13520689
7704.21239197     11753.6486362     2533.40362187
8683.49248952     11956.1591064     2501.21202409
9662.77258708     12158.6695765     2522.2804862
10642.0526846     12361.1800467     2634.05686839
9460.2621169     13137.9496741     2532.64166698
10439.5422145     13340.4601443     2594.97501205
11418.822312     13542.9706145     2696.53103183
11216.3118418     14522.250712     2658.6434098
-1127.38308774     -2326.58294156     2115.844927
-148.102990187     -2124.07247138     2141.7813889
