# lat [m]   lon [m]   Z [m]
43.5513221966     93.9050647516     2383.48678903
43.559441905     93.899738623     2452.19390856
43.5675613046     93.8944109812     2509.139052
43.5756808198     93.889081241     2522.3782852
43.5837988858     93.8837516907     2623.61862769
43.5919170994     93.8784199973     2678.84762699
43.482479786     93.93647668     2453.85862858
43.4906014655     93.9311588192     2361.6629332
43.4987231386     93.9258403811     2355.91967208
43.5068445311     93.9205209257     2383.9371294
43.5149656435     93.9151998045     2390.56468441
43.5230864558     93.9098773594     2403.88224131
43.5312074619     93.9045520205     2317.77258032
43.5393278449     93.8992265998     2326.2974469
43.5474476297     93.8939004707     2377.5226521
43.5555670622     93.8885729204     2424.50852304
43.5636864733     93.8832433617     2435.7786308
43.5718050737     93.8779132758     2493.50873757
43.5799229191     93.8725824077     2579.11202104
43.5880401967     93.867250384     2671.32059228
43.5029713265     93.9093662036     2542.61157738
43.5110916731     93.9040445361     2580.21210096
43.5192116476     93.8987215918     2623.49240843
43.5273320041     93.8933943629     2491.42104244
43.535451948     93.8880670272     2447.52901392
43.5435713722     93.8827391872     2458.18343493
43.5516910378     93.8774086829     2403.78191038
43.5598099778     93.8720779465     2413.92096577
43.5679282239     93.866746594     2462.46897767
43.5760450635     93.8614157513     2596.88485457
43.5841642019     93.8560787441     2511.65005773
43.5922796855     93.850745995     2676.03663573
43.5153368009     93.8875622626     2516.15472331
43.5234555647     93.8822392514     2692.93799695
43.5315746739     93.8769109952     2656.48889837
43.5396933134     93.8715822262     2668.81103425
43.5478116868     93.8662519762     2677.88095859
43.555929977     93.8609198134     2664.27841952
43.5640484437     93.8555852899     2610.77468067
43.572166845     93.8502491221     2552.21583956
43.58028484     93.8449119917     2517.22318972
43.5358159968     93.8604212898     2598.56623764
43.5439336884     93.8550907047     2645.69503596
43.55205052     93.8497601507     2751.75933842
43.4973613524     94.0225517357     2164.28137957
43.5054874837     94.0172447627     2201.28469991
43.5136132357     94.0119364042     2250.87822636
43.5217387047     94.0066267345     2270.81734271
43.5298637285     94.0013156667     2319.87068007
43.4913667034     94.0196238691     2106.39436934
43.4954298135     94.0169705674     2138.37478447
43.4994928188     94.014316921     2177.35270978
43.5035557303     94.0116630182     2179.59553866
43.5076185935     94.0090087836     2166.01998599
43.5116813287     94.006354138     2196.49143702
43.515743971     94.003699164     2222.73926972
43.5198065057     94.001043855     2252.07642497
43.5238689279     93.9983882149     2284.26944465
43.5279312095     93.9957322504     2324.44977097
43.5319934249     93.9930759521     2354.77017947
43.4934979927     94.0113896976     2119.33035327
43.5016236792     94.0060815487     2203.28327014
43.5097490132     94.0007721249     2208.96847626
43.5178740542     93.9954612911     2221.97104987
43.5259986755     93.990149102     2266.46766838
43.4875030786     94.0084629311     2113.52827836
43.491565899     94.0058091424     2109.07087375
43.4956286666     94.0031549899     2113.43252355
43.4996913643     94.0005004846     2124.04994387
43.5037539782     93.9978456354     2144.47288963
43.507816511     93.9951904414     2157.21766776
43.5118789746     93.9925348944     2163.7168235
43.5159412233     93.9898790865     2226.99637777
43.5200035349     93.9872228423     2224.00532227
43.5240657119     93.9845662863     2240.58633056
43.5281276698     93.9819094732     2287.39681111
43.4896335734     94.0002289241     2127.94137643
43.4977587596     93.9949197088     2133.74593166
43.5058836723     93.9896090801     2140.16257732
43.5140082021     93.984297158     2195.79543783
43.5221322767     93.9789839549     2267.3051564
43.4836383459     93.9973034371     2111.16743502
43.4877009258     93.9946490683     2115.49377499
43.4917634635     93.9919943742     2141.42016888
43.4958258869     93.9893393035     2142.01665961
43.4998882453     93.9866839178     2162.07170575
43.5039505328     93.984028115     2151.11258666
43.5080127453     93.9813720035     2159.56072464
43.5120749062     93.9787155008     2155.45553275
43.5161369299     93.9760587534     2182.11742752
43.5201988771     93.9734016428     2201.83555538
43.5242606071     93.9707443451     2255.02370049
43.4857680569     93.9890695919     2129.57841534
43.4938927395     93.9837592512     2143.43341206
43.5020171258     93.9784475369     2165.51860886
43.5101411927     93.9731344465     2190.55145465
43.5182649826     93.9678198924     2199.85080516
43.4797725383     93.9861453713     2115.08788151
43.4838348988     93.9834904707     2133.92887734
43.4878971437     93.9808351873     2138.57408837
43.4919593365     93.9781796016     2157.85125821
43.496021425     93.9755235837     2153.06499449
43.5000834548     93.9728672845     2166.85146502
43.5041454142     93.9702105554     2162.42597797
43.5082072832     93.9675535904     2182.46354053
43.5122690723     93.9648962561     2197.14715201
43.5163307937     93.9622385415     2205.75325247
43.5203924298     93.9595804964     2217.38837081
43.4819014638     93.9779117047     2135.93207584
43.4900256299     93.9726002255     2147.16712321
43.4981495084     93.9672873342     2157.22029306
43.5062730832     93.9619731522     2187.12054144
43.5143963635     93.9566574726     2199.18100721
43.4759059326     93.9749890405     2195.37172386
43.4799679706     93.9723335916     2205.78287861
43.4840298128     93.9696775726     2169.25262207
43.4880916648     93.9670212441     2147.62835102
43.4921535198     93.9643647228     2158.54807784
43.4962152929     93.9617078203     2163.80100833
43.5002769941     93.9590506498     2182.15906537
43.5043386142     93.9563930671     2190.1243277
43.508400144     93.9537352199     2209.90116685
43.5124616217     93.9510768846     2210.38250786
43.5165230131     93.9484182582     2218.94185159
43.4780340792     93.9667557032     2227.02577207
43.4861575306     93.9614429066     2195.72341962
43.4942808337     93.9561288665     2198.44129386
43.5024038772     93.9508132804     2184.96893155
43.5105266233     93.9454966226     2215.73293876
43.5007563832     93.9963825933     2125.60564478
43.5027876539     93.9950550516     2129.33335372
43.5048189006     93.9937274297     2140.4223007
43.5068501226     93.9923997249     2152.86373172
43.5088813172     93.9910719395     2167.67831479
43.5109124694     93.989744087     2192.26669605
43.5129436739     93.9884160807     2175.5517552
43.4997900136     93.993592186     2137.24960476
43.5038524679     93.9909368744     2141.79440723
43.507914845     93.9882812205     2151.87684049
43.5119771509     93.9856252112     2158.65221658
43.4988235783     93.9908018708     2143.9047737
43.5008547794     93.9894742013     2153.67268524
43.5028859601     93.9881464392     2159.26515263
43.5049171344     93.9868185546     2147.53095679
43.5069482765     93.9854906248     2157.29948258
43.5089794209     93.984162567     2149.67922508
43.5110105086     93.9828344873     2168.3015435
