# X [m]   Y [m]   Z [m]
2515.38759226     -1002.88790027     2289.98011991
3474.05044822     -718.343477379     2369.79552287
4432.71330418     -433.799054491     2454.11205743
-7355.78539026     -2889.66927319     2088.37490078
-6397.1225343     -2605.1248503     2124.3782563
-5438.45967833     -2320.58042741     2104.57671522
-4479.79682237     -2036.03600453     2067.32580858
-3521.13396641     -1751.49158164     2070.88306077
-2562.47111044     -1466.94715875     2083.35721617
-1603.80825448     -1182.40273586     2093.02057594
-645.145398519     -897.858312971     2144.17850247
313.517457444     -613.313890082     2153.86956313
1272.18031341     -328.769467194     2199.38369549
2230.84316937     -44.2250443051     2255.49652768
3189.50602533     240.319378584     2324.15046457
4148.1688813     524.863801472     2391.68846325
5106.83173726     809.408224361     2515.0556214
-7640.32981315     -1931.00641723     2128.47390548
-6681.66695718     -1646.46199434     2154.91046649
-5723.00410122     -1361.91757145     2176.98207541
-4764.34124526     -1077.37314856     2158.51759805
-3805.6783893     -792.828725674     2076.84301735
-2847.01553333     -508.284302786     2096.81895299
-1888.35267737     -223.739879897     2110.85983733
-929.689821407     60.8045429917     2126.75137015
28.9730345555     345.34896588     2132.68948709
987.635890518     629.893388769     2164.08268379
1946.29874648     914.437811658     2209.01150283
2904.96160244     1198.98223455     2271.34315002
3863.62445841     1483.52665744     2371.04436289
4822.28731437     1768.07108032     2424.85161162
5780.95017033     2052.61550321     2619.11289158
-6966.21138007     -687.799138377     2164.81516665
-6007.54852411     -403.254715489     2154.42631241
-5048.88566815     -118.7102926     2202.76071173
-4090.22281218     165.834130289     2178.25558007
-3131.55995622     450.378553177     2141.8811398
-2172.89710026     734.922976066     2116.61849968
-1214.2342443     1019.46739895     2128.54365952
-255.571388333     1304.01182184     2151.11184456
703.09146763     1588.55624473     2179.94309994
1661.75432359     1873.10066762     2193.38986892
2620.41717956     2157.64509051     2236.06655086
3579.08003552     2442.1895134     2355.34362203
4537.74289148     2726.73393629     2436.32265059
5496.40574744     3011.27835918     2463.80951335
6455.06860341     3295.82278206     2591.24075997
-6292.092947     555.408140474     2196.4312419
-5333.43009104     839.952563363     2302.14311931
-4374.76723507     1124.49698625     2231.47225503
-3416.10437911     1409.04140914     2217.08833914
-2457.44152315     1693.58583203     2176.13009504
-1498.77866718     1978.13025492     2149.19079714
-540.115811222     2262.67467781     2155.72665955
418.547044741     2547.21910069     2167.10242712
